lau_1,label_en,label_dk,iso_3166_2
580,Aabenraa,Aabenraa,DK-83
851,Aalborg,Aalborg,DK-81
751,Århus,Århus,DK-82
492,Ærø,Ærø,DK-83
165,Albertslund,Albertslund,DK-84
201,Allerød,Allerød,DK-84
420,Assens,Assens,DK-83
151,Ballerup,Ballerup,DK-84
530,Billund,Billund,DK-83
400,Bornholm,Bornholm,DK-84
153,Brøndby,Brøndby,DK-84
810,Brønderslev-Dronninglund,Brønderslev-Dronninglund,DK-81
411,Christiansø,Christiansø,DK-84
155,Dragør,Dragør,DK-84
240,Egedal,Egedal,DK-84
561,Esbjerg,Esbjerg,DK-83
430,Faaborg-Midtfyn,Faaborg-Midtfyn,DK-83
563,Fanø,Fanø,DK-83
710,Favrskov,Favrskov,DK-82
320,Faxe,Faxe,DK-85
210,Fredensborg,Fredensborg,DK-84
607,Fredericia,Fredericia,DK-83
147,Frederiksberg,Frederiksberg,DK-84
813,Frederikshavn,Frederikshavn,DK-81
250,Frederikssund,Frederikssund,DK-84
190,Furesø,Furesø,DK-84
157,Gentofte,Gentofte,DK-84
159,Gladsaxe,Gladsaxe,DK-84
161,Glostrup,Glostrup,DK-84
253,Greve,Greve,DK-85
270,Gribskov,Gribskov,DK-84
376,Guldborgsund,Guldborgsund,DK-85
510,Haderslev,Haderslev,DK-83
260,Halsnæs,Halsnæs,DK-84
766,Hedensted,Hedensted,DK-82
217,Helsingør,Helsingør,DK-84
163,Herlev,Herlev,DK-84
657,Herning,Herning,DK-82
219,Hillerød,Hillerød,DK-84
860,Hjørring,Hjørring,DK-81
169,Høje-Taastrup,Høje-Taastrup,DK-84
316,Holbæk,Holbæk,DK-85
661,Holstebro,Holstebro,DK-82
615,Horsens,Horsens,DK-82
223,Hørsholm,Hørsholm,DK-84
167,Hvidovre,Hvidovre,DK-84
756,Ikast-Brande,Ikast-Brande,DK-82
183,Ishøj,Ishøj,DK-84
849,Jammerbugt,Jammerbugt,DK-81
326,Kalundborg,Kalundborg,DK-85
440,Kerteminde,Kerteminde,DK-83
101,Copenhagen,København,DK-84
259,Køge,Køge,DK-85
621,Kolding,Kolding,DK-83
825,Læsø,Læsø,DK-81
482,Langeland,Langeland,DK-83
350,Lejre,Lejre,DK-85
665,Lemvig,Lemvig,DK-82
360,Lolland,Lolland,DK-85
173,Lyngby-Taarbæk,Lyngby-Taarbæk,DK-84
846,Mariagerfjord,Mariagerfjord,DK-81
410,Middelfart,Middelfart,DK-83
773,Morsø,Morsø,DK-81
370,Næstved,Næstved,DK-85
707,Norddjurs,Norddjurs,DK-82
480,Nordfyns,Nordfyns,DK-83
450,Nyborg,Nyborg,DK-83
727,Odder,Odder,DK-82
461,Odense,Odense,DK-83
306,Odsherred,Odsherred,DK-85
730,Randers,Randers,DK-82
840,Rebild,Rebild,DK-81
760,Ringkøbing-Skjern,Ringkøbing-Skjern,DK-82
329,Ringsted,Ringsted,DK-85
175,Rødovre,Rødovre,DK-84
265,Roskilde,Roskilde,DK-85
230,Rudersdal,Rudersdal,DK-84
741,Samsø,Samsø,DK-82
740,Silkeborg,Silkeborg,DK-82
746,Skanderborg,Skanderborg,DK-82
779,Skive,Skive,DK-82
330,Slagelse,Slagelse,DK-85
269,Solrød,Solrød,DK-85
540,Sønderborg,Sønderborg,DK-83
340,Sorø,Sorø,DK-85
336,Stevns,Stevns,DK-85
671,Struer,Struer,DK-82
479,Svendborg,Svendborg,DK-83
706,Syddjurs,Syddjurs,DK-82
185,Tårnby,Tårnby,DK-84
787,Thisted,Thisted,DK-81
550,Tønder,Tønder,DK-83
187,Vallensbæk,Vallensbæk,DK-84
573,Varde,Varde,DK-83
575,Vejen,Vejen,DK-83
630,Vejle,Vejle,DK-83
820,Vesthimmerland,Vesthimmerland,DK-81
791,Viborg,Viborg,DK-82
390,Vordingborg,Vordingborg,DK-85
