postal_code,label_en,label_dk
1000-1499,Copenhagen K,København K
1500-1799,Copenhagen V,København V
1800-1999,Frederiksberg C,Frederiksberg C
2000,Frederiksberg,Frederiksberg
2100,Copenhagen Ø,København Ø
2150,Nordhavn,Nordhavn
2200,Copenhagen N,København N
2300,Copenhagen S,København S
2400,Copenhagen NV,København NV
2450,Copenhagen SV,København SV
2500,Valby,Valby
2600,Glostrup,Glostrup
2605,Brøndby,Brøndby
2610,Rødovre,Rødovre
2620,Albertslund,Albertslund
2625,Vallensbæk,Vallensbæk
2630,Taastrup,Taastrup
2633,Taastrup Nordsjællands Postcenter,Taastrup Nordsjællands Postcenter
2635,Ishøj,Ishøj
2640,Hedehusene,Hedehusene
2650,Hvidovre,Hvidovre
2660,Brøndby Strand,Brøndby Strand
2665,Vallensbæk Strand,Vallensbæk Strand
2670,Greve,Greve
2680,Solrød Strand,Solrød Strand
2690,Karlslunde,Karlslunde
2700,Brønshøj,Brønshøj
2720,Vanløse,Vanløse
2730,Herlev,Herlev
2740,Skovlunde,Skovlunde
2750,Ballerup,Ballerup
2760,Måløv,Måløv
2765,Smørum,Smørum
2770,Kastrup,Kastrup
2791,Dragør,Dragør
2800,Kongens Lyngby,Kongens Lyngby
2820,Gentofte,Gentofte
2830,Virum,Virum
2840,Holte,Holte
2850,Nærum,Nærum
2860,Søborg,Søborg
2870,Dyssegård,Dyssegård
2880,Bagsværd,Bagsværd
2900,Hellerup,Hellerup
2920,Charlottenlund,Charlottenlund
2930,Klampenborg,Klampenborg
2942,Skodsborg,Skodsborg
2950,Vedbæk,Vedbæk
2960,Rungsted Kyst,Rungsted Kyst
2970,Hørsholm,Hørsholm
2980,Kokkedal,Kokkedal
2990,Nivå,Nivå
3000,Helsingør,Helsingør
3050,Humlebæk,Humlebæk
3060,Espergærde,Espergærde
3070,Snekkersten,Snekkersten
3080,Tikøb,Tikøb
3100,Hornbæk,Hornbæk
3120,Dronningmølle,Dronningmølle
3140,Ålsgårde,Ålsgårde
3150,Hellebæk,Hellebæk
3200,Helsinge,Helsinge
3210,Vejby,Vejby
3220,Tisvildeleje,Tisvildeleje
3230,Græsted,Græsted
3250,Gilleleje,Gilleleje
3300,Frederiksværk,Frederiksværk
3310,Ølsted,Ølsted
3320,Skævinge,Skævinge
3330,Gørløse,Gørløse
3360,Liseleje,Liseleje
3370,Melby,Melby
3390,Hundested,Hundested
3400,Hillerød,Hillerød
3450,Allerød,Allerød
3460,Birkerød,Birkerød
3480,Fredensborg,Fredensborg
3490,Kvistgård,Kvistgård
3500,Værløse,Værløse
3520,Farum,Farum
3540,Lynge,Lynge
3550,Slangerup,Slangerup
3600,Frederikssund,Frederikssund
3630,Jægerspris,Jægerspris
3650,Ølstykke,Ølstykke
3660,Stenløse,Stenløse
3670,Veksø Sjælland,Veksø Sjælland
3700,Rønne,Rønne
3720,Aakirkeby,Aakirkeby
3730,Nexø,Nexø
3740,Svaneke,Svaneke
3751,Østermarie,Østermarie
3760,Gudhjem,Gudhjem
3770,Allinge,Allinge
3782,Klemensker,Klemensker
3790,Hasle,Hasle
4000,Roskilde,Roskilde
4030,Tune,Tune
4040,Jyllinge,Jyllinge
4050,Skibby,Skibby
4060,Kirke Såby,Kirke Såby
4070,Kirke Hyllinge,Kirke Hyllinge
4100,Ringsted,Ringsted
4105,Ringsted Midtsjællands Postcenter,Ringsted Midtsjællands Postcenter
4130,Viby Sjælland,Viby Sjælland
4140,Borup,Borup
4160,Herlufmagle,Herlufmagle
4171,Glumsø,Glumsø
4173,Fjenneslev,Fjenneslev
4174,Jystrup Midtsjælland,Jystrup Midtsjælland
4180,Sorø,Sorø
4190,Munke Bjergby,Munke Bjergby
4200,Slagelse,Slagelse
4220,Korsør,Korsør
4230,Skælskør,Skælskør
4241,Vemmelev,Vemmelev
4242,Boeslunde,Boeslunde
4243,Rude,Rude
4250,Fuglebjerg,Fuglebjerg
4261,Dalmose,Dalmose
4262,Sandved,Sandved
4270,Høng,Høng
4281,Gørlev,Gørlev
4291,Ruds Vedby,Ruds Vedby
4293,Dianalund,Dianalund
4295,Stenlille,Stenlille
4296,Nyrup,Nyrup
4300,Holbæk,Holbæk
4320,Lejre,Lejre
4330,Hvalsø,Hvalsø
4340,Tølløse,Tølløse
4350,Ugerløse,Ugerløse
4360,Kirke Eskilstrup,Kirke Eskilstrup
4370,Store Merløse,Store Merløse
4390,Vipperød,Vipperød
4400,Kalundborg,Kalundborg
4420,Regstrup,Regstrup
4440,Mørkøv,Mørkøv
4450,Jyderup,Jyderup
4460,Snertinge,Snertinge
4470,Svebølle,Svebølle
4480,Store Fuglede,Store Fuglede
4490,Jerslev Sjælland,Jerslev Sjælland
4500,Nykøbing Sjælland,Nykøbing Sjælland
4520,Svinninge,Svinninge
4532,Gislinge,Gislinge
4534,Hørve,Hørve
4540,Fårevejle,Fårevejle
4550,Asnæs,Asnæs
4560,Vig,Vig
4571,Grevinge,Grevinge
4572,Nørre Asmindrup,Nørre Asmindrup
4573,Højby,Højby
4581,Rørvig,Rørvig
4583,Sjællands Odde,Sjællands Odde
4591,Føllenslev,Føllenslev
4592,Sejerø,Sejerø
4593,Eskebjerg,Eskebjerg
4600,Køge,Køge
4621,Gadstrup,Gadstrup
4622,Havdrup,Havdrup
4623,Lille Skensved,Lille Skensved
4632,Bjæverskov,Bjæverskov
4640,Fakse,Fakse
4652,Hårlev,Hårlev
4653,Karise,Karise
4654,Fakse Ladeplads,Fakse Ladeplads
4660,Store Heddinge,Store Heddinge
4671,Strøby,Strøby
4672,Klippinge,Klippinge
4673,Rødvig Stevns,Rødvig Stevns
4681,Herfølge,Herfølge
4682,Tureby,Tureby
4683,Rønnede,Rønnede
4684,Holmegaard,Holmegaard
4690,Haslev,Haslev
4700,Næstved,Næstved
4720,Præstø,Præstø
4733,Tappernøje,Tappernøje
4735,Mern,Mern
4736,Karrebæksminde,Karrebæksminde
4750,Lundby,Lundby
4760,Vordingborg,Vordingborg
4771,Kalvehave,Kalvehave
4772,Langebæk,Langebæk
4773,Stensved,Stensved
4780,Stege,Stege
4791,Borre,Borre
4792,Askeby,Askeby
4793,Bogø By,Bogø By
4800,Nykøbing Falster,Nykøbing Falster
4840,Nørre Alslev,Nørre Alslev
4850,Stubbekøbing,Stubbekøbing
4862,Guldborg,Guldborg
4863,Eskilstrup,Eskilstrup
4871,Horbelev,Horbelev
4872,Idestrup,Idestrup
4873,Væggerløse,Væggerløse
4874,Gedser,Gedser
4880,Nysted,Nysted
4891,Toreby Lolland,Toreby Lolland
4892,Kettinge,Kettinge
4894,Øster Ulslev,Øster Ulslev
4895,Errindlev,Errindlev
4900,Nakskov,Nakskov
4912,Harpelunde,Harpelunde
4913,Horslunde,Horslunde
4920,Søllested,Søllested
4930,Maribo,Maribo
4941,Bandholm,Bandholm
4943,Torrig Lolland,Torrig Lolland
4944,Fejø,Fejø
4951,Nørreballe,Nørreballe
4952,Stokkemarke,Stokkemarke
4953,Vesterborg,Vesterborg
4960,Holeby,Holeby
4970,Rødby,Rødby
4983,Dannemare,Dannemare
4990,Sakskøbing,Sakskøbing
5000,Odense C,Odense C
5090,Odense C Fyns Postcenter,Odense C Fyns Postcenter
5200,Odense V,Odense V
5210,Odense NV,Odense NV
5220,Odense SØ,Odense SØ
5230,Odense M,Odense M
5240,Odense NØ,Odense NØ
5250,Odense SV,Odense SV
5260,Odense S,Odense S
5270,Odense N,Odense N
5290,Marslev,Marslev
5300,Kerteminde,Kerteminde
5320,Agedrup,Agedrup
5330,Munkebo,Munkebo
5350,Rynkeby,Rynkeby
5370,Mesinge,Mesinge
5380,Dalby,Dalby
5390,Martofte,Martofte
5400,Bogense,Bogense
5450,Otterup,Otterup
5462,Morud,Morud
5463,Harndrup,Harndrup
5464,Brenderup Fyn,Brenderup Fyn
5466,Asperup,Asperup
5471,Søndersø,Søndersø
5474,Veflinge,Veflinge
5485,Skamby,Skamby
5491,Blommenslyst,Blommenslyst
5492,Vissenbjerg,Vissenbjerg
5500,Middelfart,Middelfart
5540,Ullerslev,Ullerslev
5550,Langeskov,Langeskov
